City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Luderitz,NA,-26.6481,15.1594,69.21,58,0,15.97,clear sky
80,Santo Antonio Do Leverger,BR,-15.8656,-56.0767,77.38,96,91,6.15,overcast clouds
81,Ambulu,ID,-8.345,113.6058,80.64,83,100,3.13,light rain
82,Killam,CA,52.7834,-111.8518,0.99,78,100,6.91,overcast clouds
83,Santa Lucia,ES,27.9117,-15.5407,52.77,71,40,6.91,scattered clouds
84,Sinnamary,GF,5.3833,-52.95,76.33,91,100,9.69,overcast clouds
85,Atuona,PF,-9.8,-139.0333,78.28,74,10,15.52,clear sky
86,Bubaque,GW,11.2833,-15.8333,76.77,70,7,10.22,clear sky
87,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,5.75,clear sky
88,Vila Velha,BR,-20.3297,-40.2925,78.75,91,75,5.75,broken clouds
89,Oussouye,SN,12.485,-16.5469,72.25,56,45,6.31,scattered clouds
90,Albany,US,42.6001,-73.9662,32.81,48,3,1.99,clear sky
91,Mount Gambier,AU,-37.8333,140.7667,65.37,39,74,8.79,broken clouds
92,Vilyuysk,RU,63.7553,121.6247,8.11,94,100,9.31,light snow
93,Esperance,AU,-33.8667,121.9,68.76,52,39,11.9,scattered clouds
94,Bengkulu,ID,-3.8004,102.2655,80.55,74,99,2.62,overcast clouds
95,Energetik,RU,51.7445,58.7934,30.85,95,100,13.31,overcast clouds
96,Arraial Do Cabo,BR,-22.9661,-42.0278,76.5,89,100,11.83,overcast clouds
97,Krasnoarmeysk,RU,51.0239,45.6969,25.77,94,100,6.51,overcast clouds
98,Erzin,TR,36.9559,36.2,56.12,88,99,4.54,overcast clouds
99,Vidosi,BA,43.7714,17.0283,40.51,93,43,4.03,scattered clouds
100,Madang,PG,-5.2246,145.7966,86.9,64,100,4.09,overcast clouds
101,Mnogovershinnyy,RU,53.9353,139.9242,3.58,85,84,9.4,broken clouds
102,Benjamin Aceval,PY,-24.9667,-57.5667,75.6,92,85,5.01,overcast clouds
103,Hamilton,US,39.1834,-84.5333,50.63,47,0,10.36,clear sky
104,Puerto Berrio,CO,6.4916,-74.4033,74.91,89,56,1.1,broken clouds
105,Kawalu,ID,-7.3817,108.2082,79.38,75,94,1.72,overcast clouds
106,Matara,LK,5.9485,80.5353,77.94,81,3,1.54,clear sky
107,Leh,IN,34.1667,77.5833,-7.38,61,9,4.25,clear sky
108,Tasiilaq,GL,65.6145,-37.6368,23.16,67,100,14.16,overcast clouds
109,Barrow,US,71.2906,-156.7887,-20.18,63,0,14.97,haze
110,San Patricio,US,28.017,-97.5169,67.53,94,100,5.06,overcast clouds
111,Zalesovo,RU,53.9939,84.7431,-6.34,100,70,3.27,broken clouds
112,Suntar,RU,62.1444,117.6319,9.99,93,100,11.14,light snow
113,Torbay,CA,47.6666,-52.7314,25.75,75,75,3.44,broken clouds
114,Ahipara,NZ,-35.1667,173.1667,75.7,61,13,0.78,few clouds
115,Along,IN,28.1667,94.7667,51.42,93,95,2.15,overcast clouds
116,Amga,RU,60.8953,131.9608,-15.72,94,100,2.24,overcast clouds
117,Katsuura,JP,35.1333,140.3,42.91,40,11,10.45,few clouds
118,Bonthe,SL,7.5264,-12.505,76.17,85,3,3.04,clear sky
119,Baykit,RU,61.67,96.37,-1.86,100,97,1.01,overcast clouds
120,Manaure,CO,11.7751,-72.4445,76.73,76,5,16.75,clear sky
121,Donegal,IE,54.65,-8.1167,42.66,86,100,36.82,overcast clouds
122,Brewster,US,41.3973,-73.6171,34.39,66,0,6.91,clear sky
123,Port Hardy,CA,50.6996,-127.4199,39.76,87,100,16.11,light intensity shower rain
124,Kununurra,AU,-15.7667,128.7333,93.18,55,71,4.61,broken clouds
125,Namatanai,PG,-3.6667,152.4333,86.61,66,100,5.82,light rain
126,Qaanaaq,GL,77.484,-69.3632,-9.02,50,100,2.39,overcast clouds
127,Leningradskiy,RU,69.3833,178.4167,-29.34,99,67,4.23,broken clouds
128,Bredasdorp,ZA,-34.5322,20.0403,65.52,77,99,4.61,overcast clouds
129,Pacific Grove,US,36.6177,-121.9166,55.56,82,100,14.97,overcast clouds
130,Ulaangom,MN,49.9811,92.0667,-14.96,94,93,1.68,overcast clouds
131,Dikson,RU,73.5069,80.5464,16.92,94,100,17.02,light snow
132,Changping,CN,40.2186,116.2197,31.64,37,0,6.02,clear sky
133,Codrington,AU,-38.2667,141.9667,61.86,49,100,11.81,overcast clouds
134,Gora,PL,51.6664,16.5349,47.28,81,100,22.88,light rain
135,Las Vegas,US,36.175,-115.1372,70.48,15,0,14.97,clear sky
136,Cherskiy,RU,68.75,161.3,-36.81,98,100,2.71,overcast clouds
137,Isangel,VU,-19.55,169.2667,89.71,66,75,6.91,broken clouds
138,Kaka,TM,37.3482,59.6143,52.09,41,62,5.21,broken clouds
139,Kumluca,TR,36.3703,30.2869,52.68,55,100,1.99,overcast clouds
140,Tuatapere,NZ,-46.1333,167.6833,74.82,38,3,1.03,clear sky
141,Hasaki,JP,35.7333,140.8333,41.4,33,2,27.09,clear sky
142,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,75,0,5.75,clear sky
143,Deputatskiy,RU,69.3,139.9,-25.53,91,7,3.67,clear sky
144,Sharya,RU,58.3686,45.5144,23.34,89,42,8.03,scattered clouds
